id,name,code,parent,kind,type,reconcile,deferral,party_required
pc,PLAN DE CUENTAS NIIF PYMES ECUADOR,,,view,ec,,,
pc_1,ACTIVO,1,pc,view,,,,
pc_101,ACTIVO CORRIENTE,101,pc_1,view,,,,
pc_10101,EFECTIVO Y EQUIVALENTES AL EFECTIVO,10101,pc_101,view,,,,
pc_1010101,EFECTIVO,1010101,pc_10101,other,ec_esf_10101,False,True,False
pc_1010102,CHEQUE,1010102,pc_10101,other,ec_esf_10101,False,True,False
pc_1010103,TARJETA DE CREDITO,1010103,pc_10101,other,ec_esf_10101,False,True,False
pc_1010104,BANCOS,1010104,pc_10101,view,,,,
pc_101010401,BANCO 1,101010401,pc_1010104,other,ec_esf_10101,False,True,False
pc_101010402,BANCO 2,101010402,pc_1010104,other,ec_esf_10101,False,True,False
pc_10102,POR COBRAR,10102,pc_101,receivable,ec_esf_10102,True,True,True
pc_10103,OTROS ACTIVOS CORRIENTES,10103,pc_101,view,,,,
pc_1010301,IMPUESTOS FISCALES IVA COMPRAS,1010301,pc_10103,other,ec_esf_10103,True,True,False
pc_10104,ACTIVOS POR IMPUESTOS CORRIENTES,10104,pc_101,view,,,,
pc_1010401,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA (IVA),1010401,pc_10104,other,ec_esf_1010401,True,True,False
pc_1010402,CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA ( I. R.),1010402,pc_10104,other,ec_esf_1010402,True,True,False
pc_1010403,ANTICIPO DE IMPUESTO A LA RENTA,1010403,pc_10104,other,ec_esf_1010403,True,True,False
pc_102,ACTIVO NO CORRIENTE,102,pc_1,other,ec_esf_102,True,True,False
pc_2,PASIVO,2,pc,view,,,,
pc_201,PASIVO CORRIENTE,201,pc_2,view,,,,
pc_20101,POR PAGAR,20101,pc_201,payable,ec_esf_20101,True,True,True
pc_20102,OTRAS OBLIGACIONES CORRIENTES,20102,pc_201,view,,,,
pc_2010201,CON LA ADMINISTRACIÓN TRIBUTARIA,2010201,pc_20102,view,,,,
pc_201020101,IVA VENTAS POR PAGAR,201020101,pc_2010201,view,,,,
pc_201020102,RETENCIONES IMPUESTO A LA RENTA POR PAGAR,201020102,pc_2010201,payable,ec_esf_2010201,False,True,True
pc_201020103,RETENCIONES IMPUESTO IVA POR PAGAR,201020103,pc_2010201,payable,ec_esf_2010201,False,True,True
pc_2010202,IMPUESTO A LA RENTA POR PAGAR DEL EJERCICIO,2010202,pc_20102,payable,ec_esf_2010202,False,True,True
pc_2010203,CON EL IESS,2010203,pc_20102,payable,ec_esf_2010203,False,True,True
pc_2010204,POR BENEFICIOS DE LEY A EMPLEADOS,2010204,pc_20102,payable,ec_esf_2010204,False,True,True
pc_202,PASIVO NO CORRIENTE,202,pc_2,payable,ec_esf_202,False,True,True
pc_3,INGRESOS PRINCIPAL,3,pc,revenue,ec_eri_30101,False,False,False
pc_4,GASTOS PRINCIPAL,4,pc,expense,ec_eri_30102,False,False,False
