id,name,code,parent,kind,type,reconcile,deferral,party_required
pc_20102010101,IVA VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 12%,20102010101,pc_201020101,other,ec_esf_2010201,True,True,True
pc_20102010102,IVA VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 0% QUE NO DAN DERECHO A CREDITO TRIBUTARIO,20102010102,pc_201020101,other,ec_esf_2010201,True,True,True
pc_20102010103,IVA VENTAS LOCALES (EXCLUYE ACTIVOS FIJOS) GRAVADAS TARIFA 0% QUE DAN DERECHO A CREDITO TRIBUTARIO,20102010103,pc_201020101,other,ec_esf_2010201,True,True,True
pc_20102010104,VENTAS NO OBJETO DE IVA,20102010104,pc_201020101,other,ec_esf_2010201,True,True,True
pc_20102010105,VENTAS EXENTAS DE IVA,20102010105,pc_201020101,other,ec_esf_2010201,True,True,True
pc_20102010106,IVA VENTAS LOCALES GRAVADAS TARIFA 14%,20102010106,pc_201020101,other,ec_esf_2010201,True,True,True
pc_101030101,IVA COMPRAS GRAVADAS TARIFA 12% (CON DERECHO A CRÉDITO TRIBUTARIO),101030101,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030102,IVA OTRAS COMPRAS GRAVADAS TARIFA 12% (SIN DERECHO A CRÉDITO TRIBUTARIO),101030102,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030103,IVA COMPRAS GRAVADAS TARIFA 0%,101030103,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030104,COMPRAS REALIZADAS A CONTRIBUYENTES RISE ,101030104,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030105,COMPRAS NO OBJETO DE IVA,101030105,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030106,COMPRAS EXENTAS DEL PAGO DE IVA,101030106,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030107,IVA COMPRAS GRAVADOS TARIFA 14% (CON DERECHO A CRÉDITO TRIBUTARIO),101030107,pc_1010301,other,ec_esf_10103,True,True,True
pc_101030108,IVA OTRAS COMPRAS GRAVADOS TARIFA 14% (SIN DERECHO A CRÉDITO TRIBUTARIO),101030108,pc_1010301,other,ec_esf_10103,True,True,True
pc_101040101,ANTICIPO RETENCION IVA 10%,101040101,pc_1010401,other,ec_esf_1010401,True,True,True
pc_101040102,ANTICIPO RETENCION IVA 20%,101040102,pc_1010401,other,ec_esf_1010401,True,True,True
pc_101040103,ANTICIPO RETENCION IVA 30%,101040103,pc_1010401,other,ec_esf_1010401,True,True,True
pc_101040104,ANTICIPO RETENCION IVA 70%,101040104,pc_1010401,other,ec_esf_1010401,True,True,True
pc_101040105,ANTICIPO RETENCION IVA 100%,101040105,pc_1010401,other,ec_esf_1010401,True,True,True
pc_101040201,ANTICIPO RETENCION EN LA FUENTE 1%,101040201,pc_1010402,other,ec_esf_1010402,True,True,True
pc_101040202,ANTICIPO RETENCION EN LA FUENTE 2%,101040202,pc_1010402,other,ec_esf_1010402,True,True,True
pc_101040203,ANTICIPO RETENCION EN LA FUENTE 8%,101040203,pc_1010402,other,ec_esf_1010402,True,True,True
pc_101040204,ANTICIPO RETENCION EN LA FUENTE 10%,101040204,pc_1010402,other,ec_esf_1010402,True,True,True
